rms,kurtosis,peak_to_peak,std,mean_abs,bpfo_energy,bpfi_energy,bsf_energy,label
0.10543929148781836,0.9545136527384219,1.145,0.10542583760539853,0.080571240234375,0.09706358426741463,0.012934721052567197,0.015913413671904478,1
0.10421010318327466,0.8921494235250269,0.9570000000000001,0.10419411991093308,0.07979892578125,0.10107926232376274,0.011654386187845703,0.010745690451162937,1
0.1439164398197462,2.0279362962567413,1.428,0.14390677431422344,0.104158837890625,0.1864184379226029,0.015152534147224395,0.010857280742244995,1
0.07690982601651511,0.40485080808730656,0.7170000000000001,0.07687163975449084,0.060525244140625004,0.015202217308360886,0.015820475511842548,0.017957361568437077,0
0.10650088073652841,0.9495395392054915,0.984,0.10647368979524564,0.08143095703125,0.10144402590923984,0.01274893021350363,0.009204807271310343,1
0.07675040716504376,0.41060545081539823,0.757,0.07671784801069455,0.06054824218750001,0.017024126567586218,0.0173523408996937,0.017918993777973305,0
0.07669008183816046,0.40447481856526,0.832,0.07666411801261451,0.06058916015625,0.01917521972603209,0.018720925985169938,0.013723954891209814,0
0.0771727857938762,0.4437375667087262,0.72,0.07716322017168606,0.060571484375000005,0.016443753712669578,0.011277249067965952,0.014587346462988997,0
0.07824627774193958,0.5433076702341766,0.755,0.07822606699390491,0.061482519531250016,0.016484842911921444,0.013772155496860054,0.015381143352722386,0
0.09103706078046937,0.3637943811755773,0.849,0.09101847827023163,0.07153637695312501,0.05426047388374729,0.014240355949007905,0.017493250124129424,1
