op_setting_1,op_setting_2,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21,sensor_2_roll_mean,sensor_2_baseline_drift,sensor_3_roll_mean,sensor_3_baseline_drift,sensor_4_roll_mean,sensor_4_baseline_drift,sensor_7_roll_mean,sensor_7_baseline_drift,sensor_8_roll_mean,sensor_8_baseline_drift,sensor_9_roll_mean,sensor_9_baseline_drift,sensor_11_roll_mean,sensor_11_baseline_drift,sensor_12_roll_mean,sensor_12_baseline_drift,sensor_13_roll_mean,sensor_13_baseline_drift,sensor_14_roll_mean,sensor_14_baseline_drift,sensor_15_roll_mean,sensor_15_baseline_drift,sensor_17_roll_mean,sensor_17_baseline_drift,sensor_20_roll_mean,sensor_20_baseline_drift,sensor_21_roll_mean,sensor_21_baseline_drift,cycle,true_RUL
0.0028,-0.0003,642.61,1597.1,1416.61,552.87,2388.19,9044.53,47.58,521.41,2388.14,8120.2,8.4409,394,38.93,23.2872,642.61,0.10500000000001819,1597.1,5.761999999999716,1416.61,8.33199999999988,552.87,-0.3529999999999518,2388.19,0.023999999999887223,9044.53,3.7000000000025466,47.58,-0.0020000000000024443,521.41,0.2419999999999618,2388.14,0.006999999999607098,8120.2,0.31200000000080763,8.4409,-0.0013500000000004064,394.0,1.1999999999999886,38.93,0.0730000000000004,23.2872,0.009129999999998972,1,82
-0.0016,0.0005,642.29,1584.64,1404.19,552.92,2388.19,9041.32,47.6,521.16,2388.17,8119.56,8.4682,395,38.97,23.2048,642.45,-0.21500000000003183,1590.87,-6.698000000000093,1410.4,-4.087999999999965,552.895,-0.30299999999999727,2388.19,0.023999999999887223,9042.925,0.4900000000016007,47.59,0.018000000000000682,521.285,-0.008000000000038199,2388.1549999999997,0.03699999999980719,8119.88,-0.3279999999986103,8.45455,0.025949999999999918,394.5,2.1999999999999886,38.95,0.11299999999999955,23.246,-0.07327000000000083,2,81
-0.0,-0.0,642.56,1592.15,1409.65,553.06,2388.16,9044.17,47.51,521.11,2388.13,8124.57,8.4319,391,38.93,23.2716,642.4866666666667,0.05499999999994998,1591.2966666666669,0.8119999999998981,1410.1499999999999,1.372000000000071,552.9499999999999,-0.16300000000001091,2388.18,-0.006000000000312866,9043.34,3.3400000000019645,47.56333333333333,-0.07200000000000273,521.2266666666666,-0.057999999999992724,2388.146666666667,-0.003000000000156433,8121.443333333334,4.6820000000006985,8.447000000000001,-0.010349999999998971,393.3333333333333,-1.8000000000000114,38.943333333333335,0.0730000000000004,23.25453333333333,-0.006470000000000198,3,80
-0.0014,-0.0004,642.68,1589.21,1408.19,553.55,2388.2,9034.63,47.63,521.4,2388.14,8119.94,8.3835,393,38.75,23.3764,642.535,0.17499999999995453,1590.775,-2.1280000000001564,1409.66,-0.08799999999996544,553.0999999999999,0.3269999999999982,2388.185,0.033999999999650754,9041.1625,-6.199999999998909,47.58,0.04800000000000182,521.27,0.2319999999999709,2388.145,0.006999999999607098,8121.0675,0.05200000000058935,8.431125,-0.05874999999999986,393.25,0.19999999999998863,38.894999999999996,-0.10699999999999932,23.285,0.0983300000000007,4,79
-0.0013,-0.0003,642.5,1594.41,1407.34,553.15,2388.14,9039.41,47.55,521.05,2388.15,8115.42,8.4779,391,38.88,23.3025,642.528,-0.0049999999999954525,1591.502,3.071999999999889,1409.196,-0.9380000000001019,553.1099999999999,-0.07299999999997908,2388.176,-0.026000000000294676,9040.812,-1.4199999999982538,47.574,-0.03200000000000358,521.226,-0.11800000000005184,2388.1459999999997,0.016999999999825377,8119.938,-4.467999999998938,8.440479999999999,0.035650000000000404,392.8,-1.8000000000000114,38.892,0.02300000000000324,23.2885,0.02442999999999884,5,78
0.0046,0.0004,642.62,1593.31,1407.75,553.04,2388.15,9034.8,47.45,521.02,2388.1,8115.9,8.4716,392,38.84,23.2766,642.53,0.1150000000000091,1590.744,1.9719999999997526,1407.4240000000002,-0.52800000000002,553.144,-0.18299999999999272,2388.168,-0.016000000000076398,9038.866,-6.029999999998836,47.548,-0.1319999999999979,521.1479999999999,-0.14800000000002456,2388.138,-0.03300000000035652,8119.0779999999995,-3.9879999999993743,8.44662,0.029350000000000875,392.4,-0.8000000000000114,38.874,-0.016999999999995907,23.28638,-0.0014700000000011926,6,77
-0.0001,-0.0004,642.32,1591.31,1409.51,553.34,2388.16,9043.83,47.58,521.32,2388.16,8123.24,8.4314,394,38.7,23.3214,642.536,-0.18499999999994543,1592.078,-0.028000000000247383,1408.4879999999998,1.231999999999971,553.228,0.11700000000007549,2388.1620000000003,-0.006000000000312866,9039.367999999999,3.000000000001819,47.544,-0.0020000000000024443,521.1800000000001,0.15200000000004366,2388.136,0.02699999999958891,8119.814,3.3520000000007713,8.439259999999999,-0.010849999999999582,392.2,1.1999999999999886,38.82,-0.15699999999999648,23.3097,0.04333000000000098,7,76
0.0038,0.0002,642.84,1599.88,1408.1,553.67,2388.13,9041.23,47.6,521.13,2388.09,8120.63,8.4263,392,38.93,23.1846,642.592,0.3350000000000364,1593.624,8.541999999999916,1408.178,-0.17800000000011096,553.35,0.44700000000000273,2388.156,-0.03600000000005821,9038.78,0.4000000000014552,47.562,0.018000000000000682,521.184,-0.038000000000010914,2388.1279999999997,-0.04300000000012005,8119.026000000001,0.7420000000010987,8.43814,-0.01595000000000013,392.4,-0.8000000000000114,38.82000000000001,0.0730000000000004,23.2923,-0.09346999999999994,8,75
-0.0023,-0.0003,642.47,1589.86,1403.54,553.82,2388.19,9039.54,47.61,521.07,2388.12,8118.77,8.4725,394,38.87,23.2451,642.55,-0.03499999999996817,1593.754,-1.4780000000002929,1407.248,-4.738000000000056,553.4039999999999,0.5970000000000937,2388.154,0.023999999999887223,9039.761999999999,-1.2899999999972351,47.55800000000001,0.027999999999998693,521.118,-0.09799999999995634,2388.124,-0.013000000000374712,8118.7919999999995,-1.117999999998574,8.45594,0.030250000000000554,392.6,1.1999999999999886,38.84400000000001,0.012999999999998124,23.266039999999997,-0.032969999999998834,9,74
-0.0001,0.0002,642.16,1581.51,1407.9,552.81,2388.15,9044.84,47.71,521.01,2388.13,8120.65,8.4183,392,38.77,23.3105,642.482,-0.3450000000000273,1591.174,-9.828000000000202,1407.36,-0.37799999999992906,553.336,-0.4130000000000109,2388.156,-0.016000000000076398,9040.848000000002,4.010000000002037,47.589999999999996,0.1280000000000001,521.1099999999999,-0.15800000000001546,2388.12,-0.003000000000156433,8119.838000000001,0.7620000000006257,8.44402,-0.02394999999999925,392.8,-0.8000000000000114,38.822,-0.08699999999999619,23.26764,0.03243000000000151,10,73
