op_setting_1,op_setting_2,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21,sensor_2_roll_mean,sensor_2_baseline_drift,sensor_3_roll_mean,sensor_3_baseline_drift,sensor_4_roll_mean,sensor_4_baseline_drift,sensor_7_roll_mean,sensor_7_baseline_drift,sensor_8_roll_mean,sensor_8_baseline_drift,sensor_9_roll_mean,sensor_9_baseline_drift,sensor_11_roll_mean,sensor_11_baseline_drift,sensor_12_roll_mean,sensor_12_baseline_drift,sensor_13_roll_mean,sensor_13_baseline_drift,sensor_14_roll_mean,sensor_14_baseline_drift,sensor_15_roll_mean,sensor_15_baseline_drift,sensor_17_roll_mean,sensor_17_baseline_drift,sensor_20_roll_mean,sensor_20_baseline_drift,sensor_21_roll_mean,sensor_21_baseline_drift,true_RUL
-0.0008,-0.0005,642.52,1579.68,1404.68,554.75,2388.03,9057.07,47.19,521.88,2388.0,8140.58,8.4273,392,39.01,23.2466,642.25,0.29300000000000637,1580.7760000000003,-3.6639999999999873,1397.788,5.073000000000093,554.182,0.2619999999999436,2388.0379999999996,0.018000000000029104,9054.104000000001,1.2299999999995634,47.266,-0.02200000000000557,522.1179999999999,-0.3249999999999318,2388.0199999999995,-0.03300000000035652,8139.306,2.7109999999993306,8.4194,0.02880000000000038,391.4,0.30000000000001137,38.944,-0.012999999999998124,23.31802,-0.14213000000000164,125
0.0001,-0.0002,642.46,1592.13,1404.88,554.19,2388.05,9084.82,47.24,522.15,2388.03,8162.09,8.3914,392,38.88,23.4414,642.442,0.2740000000001146,1586.2099999999998,8.305000000000064,1402.344,7.036999999999807,554.434,0.039000000000100954,2388.0260000000003,0.051000000000385626,9082.756,18.79199999999946,47.178000000000004,0.04600000000000648,522.296,-0.20100000000002183,2388.04,0.037000000000261934,8159.276,14.426000000000386,8.41376,-0.001999999999997115,392.2,0.8000000000000114,38.94199999999999,-0.17099999999999937,23.385879999999997,0.03941999999999979,90
0.002,-0.0002,642.23,1585.87,1408.75,553.5,2388.1,9049.27,47.37,521.75,2388.12,8121.42,8.4199,393,38.85,23.3315,642.4159999999999,-0.19499999999993634,1588.912,-2.288000000000011,1404.992,4.148999999999887,553.458,-0.045999999999935426,2388.106,-0.009000000000014552,9045.395999999999,5.827000000001135,47.432,-0.12100000000000222,521.5020000000001,0.2419999999999618,2388.118,0.016999999999825377,8124.754000000001,-3.508999999999105,8.429,-0.013099999999999667,392.8,0.19999999999998863,38.815999999999995,-0.001999999999995339,23.28526,0.04925999999999675,125
0.0004,0.0005,642.66,1588.05,1406.38,553.49,2388.08,9049.08,47.22,521.93,2388.05,8131.32,8.4128,391,38.8,23.3274,642.298,0.45899999999994634,1587.2720000000002,0.3380000000001928,1401.02,5.540000000000418,553.846,-0.6060000000001082,2388.076,0.03099999999994907,9046.828,-0.47999999999956344,47.378,-0.05200000000000671,521.7819999999999,-0.21600000000000819,2388.072,0.005999999999858119,8132.858,-0.9080000000003565,8.41456,0.004410000000000025,392.4,-0.8000000000000114,38.85,-0.1840000000000046,23.32902,-0.062199999999997146,109
-0.0009,-0.0004,642.37,1589.87,1416.56,552.67,2388.12,9057.42,47.72,521.77,2388.11,8135.86,8.4821,393,38.78,23.1934,642.9039999999999,-0.6169999999999618,1591.664,-1.4649999999999181,1412.53,7.005999999999858,553.24,-0.5790000000000646,2388.124,-0.010000000000218279,9052.710000000001,3.414999999999054,47.718,0.14999999999999147,521.1899999999999,0.5449999999999591,2388.1160000000004,-0.009999999999763531,8135.064,3.540999999999258,8.46092,0.03806000000000331,393.2,-0.10000000000002274,38.768,-0.04899999999999949,23.234820000000003,-0.08042000000000016,86
-0.0022,0.0004,642.48,1589.61,1408.72,553.52,2388.09,9046.44,47.47,521.8,2388.07,8128.88,8.4349,392,38.67,23.3019,642.382,0.06600000000003092,1589.902,1.9939999999996871,1402.4,7.224999999999909,553.952,-0.6240000000000236,2388.0860000000002,0.018999999999323336,9046.472,-2.238999999999578,47.386,0.10000000000000142,521.922,-0.29200000000003,2388.06,0.013000000000374712,8133.336,-3.7969999999986612,8.42418,0.01080999999999932,392.4,-0.6999999999999886,38.884,-0.24199999999999733,23.36868,-0.07487000000000066,125
0.0016,0.0002,643.02,1594.17,1418.31,551.98,2388.13,9103.38,48.03,520.38,2388.16,8169.02,8.4751,395,38.37,23.1067,643.308,0.34199999999987085,1596.088,5.817999999999984,1419.1699999999998,10.070999999999913,552.58,-1.086999999999989,2388.14,0.02400000000034197,9100.312,49.690999999998894,47.912,0.4540000000000006,520.46,-0.9430000000000973,2388.13,0.03699999999980719,8167.886,36.289999999999964,8.484359999999999,0.031929999999999126,395.4,1.5,38.598,-0.480000000000004,23.14314,-0.17460000000000164,43
0.0005,-0.0002,642.31,1576.09,1399.97,554.85,2388.0,9063.07,47.33,522.17,2388.01,8146.68,8.4121,393,39.02,23.5325,642.0699999999999,0.21499999999991815,1579.6799999999998,-6.860000000000127,1401.5140000000001,1.68100000000004,554.552,0.4150000000000773,2388.0080000000003,-0.01800000000048385,9062.366,-0.6810000000004948,47.284,0.16499999999999915,522.3599999999999,-0.09600000000000364,2388.008,0.011000000000422006,8146.858,3.2250000000012733,8.40788,0.00788999999999973,391.4,1.6000000000000227,38.910000000000004,-0.005999999999993122,23.434359999999998,0.14362999999999815,125
-0.0007,0.0002,643.4,1597.41,1420.73,552.27,2388.15,9103.88,47.79,520.77,2388.15,8169.77,8.4317,395,38.57,23.1259,643.164,0.9610000000000127,1597.806,11.909000000000106,1417.1200000000001,19.453999999999724,552.716,-1.8599999999999,2388.136,0.10399999999981446,9096.594000000001,41.84099999999853,47.794,0.42899999999999494,520.5060000000001,-1.2360000000001037,2388.142,0.10500000000047294,8169.13,26.470000000000255,8.46514,0.012869999999999493,395.0,2.1999999999999886,38.586,-0.357999999999997,23.17148,-0.2336899999999993,25
-0.0002,-0.0002,642.03,1582.81,1399.94,554.02,2388.01,9062.32,47.19,522.68,2388.09,8143.79,8.3908,393,38.91,23.4165,642.1299999999999,-0.03200000000003911,1584.616,-2.6929999999999836,1397.486,1.8400000000001455,554.502,-0.6290000000001328,2388.0280000000002,-0.007999999999810825,9062.368,1.0910000000003492,47.224000000000004,-0.03900000000000148,522.404,0.2739999999998872,2388.016,0.09900000000061482,8146.096,0.2599999999993088,8.39468,0.0018200000000003769,391.8,1.3000000000000114,38.95,-0.19200000000000017,23.402459999999998,-0.016950000000001353,125
