BPFO_x1_ratio,BPFO_x2_ratio,BPFO_x3_ratio,BPFI_x1_ratio,BPFI_x2_ratio,BPFI_x3_ratio,BSF_x1_ratio,BSF_x2_ratio,BSF_x3_ratio,rms,kurtosis,window_idx,fault_type
0.08954280292770252,0.037135080184614346,0.08148654945718913,0.1740972326407568,0.08148654945718913,0.03287283500795275,0.09702544389695733,0.04001527670471807,0.037135080184614346,0.5878903827032632,0.47270345704206473,0,IR
0.08659664452570892,0.042461941581392305,0.0873766841467012,0.1824745721907243,0.0873766841467012,0.032784434646943576,0.0937617515385731,0.03686896099316547,0.042461941581392305,0.5736042917326641,0.27569907099554714,1,IR
0.0944320716501921,0.032249960438766566,0.0814692849709287,0.17824664829743248,0.0814692849709287,0.03553262110354347,0.11142084075627094,0.04388050054168055,0.036076568350485706,0.5644913572748484,0.711132012444708,2,IR
0.07939075596037426,0.03583513699893384,0.08967615449745792,0.17126468847086723,0.08967615449745792,0.033705997321334225,0.1182027858912903,0.042175114226202695,0.047576740285089805,0.5888873035468293,0.7712167782042809,3,IR
0.05326282352420564,0.029384116295684843,0.07181652295532706,0.1727543983898265,0.07181652295532706,0.03887686732964489,0.10029734889210094,0.051325684921582265,0.0595260244339658,0.55544437222842,0.5825542407457531,4,IR
0.05493717381360966,0.0460635668009692,0.08808294710896156,0.18300146240756793,0.08808294710896156,0.037459951360327856,0.0893453601045356,0.04379844238153279,0.0628376729264642,0.609347706063192,1.0758601464778188,5,IR
0.06370663809344349,0.03322578760959074,0.07811748556883871,0.18085655607476914,0.07811748556883871,0.03770385708908798,0.08276058875825748,0.0537691033831279,0.058961241412054013,0.6072796475309945,0.4395626747433701,6,IR
0.0733500569245018,0.03537337640460106,0.08478443813944143,0.17085423107827327,0.08478443813944143,0.032522363443155254,0.12333015269917633,0.06700404247480814,0.05624604321627453,0.6116266578796231,1.0505893622012321,7,IR
0.054842050617935206,0.022142223421788617,0.07538492032559484,0.16461444556702198,0.07538492032559484,0.03228411565008074,0.14283256570594313,0.07875452413861807,0.049707114574051595,0.5522523581813792,0.713564758732713,8,IR
0.05518150950814803,0.04673065519486322,0.08242784682090769,0.18224871376604934,0.08242784682090769,0.032713947453335016,0.1058120538439304,0.059937456385650165,0.07484533505975552,0.5765112393594448,1.1562467080910759,9,IR
0.05573881590399374,0.03654370140216447,0.08345616303322792,0.18155108475807188,0.08345616303322792,0.037229951790118426,0.09952936370688178,0.05771209651609901,0.05464654361630483,0.5912537540037518,0.8855402308474698,10,IR
0.0764139731806769,0.026458958869541527,0.07316343056702088,0.16947881156334937,0.07316343056702088,0.035606887331354205,0.06538918952291846,0.06537085231085404,0.02910215365352762,0.5846839352992841,0.5958248315509143,11,IR
0.07983474400703157,0.042908001697027076,0.08004523034328988,0.16201710293044144,0.08004523034328988,0.03027170226276416,0.06823440233606673,0.047095528660692366,0.02592080843923795,0.5580883466489823,0.4023311658956765,12,IR
0.10077612114702117,0.02310038900682795,0.09607075160070108,0.16431024739743047,0.09607075160070108,0.03472672869265277,0.1148234244124202,0.04908750120114956,0.026681867075674884,0.5958117747812502,1.0985405651801274,13,IR
0.07312809763748712,0.01604991608195808,0.080001152658624,0.15940461766339284,0.080001152658624,0.03299965699327938,0.09294911520292722,0.03727946145217601,0.0387599319175193,0.5888941894510646,0.646066332938581,14,IR
0.08460376258559495,0.022768964398935908,0.09102057249983883,0.16914466295602673,0.09102057249983883,0.03076444324795613,0.09646231188221426,0.034237249619077675,0.050260010942530416,0.6038831466082357,0.7050060266440319,15,IR
0.08221441254983042,0.0410908653231441,0.0765967808075985,0.17187914494707185,0.0765967808075985,0.03440989866720724,0.07697169576230364,0.04143063692853692,0.0410908653231441,0.5819116108598205,0.6969245709283785,16,IR
